image_id,category,置信度,score
sputo4289735491.jpg,apse/indoor,0.6856,4.03
131316467@N0623928254427.jpg,apse/indoor,0.9222,5.61
blueocean6427791663735.jpg,apse/indoor,0.9674,5.46
fallrod46819418444.jpg,apse/indoor,0.7131,3.93
boyfrom_bare50724757123.jpg,apse/indoor,0.811,7.58
121195437@N0631430857377.jpg,apse/indoor,0.6535,5.71
hayashina27233812409.jpg,apse/indoor,0.7068,6.79
sevatolstoy26469573716.jpg,apse/indoor,0.7351,4.25
138589760@N0525227679864.jpg,apse/indoor,0.7448,7.4
andreaschuh21085534299.jpg,apse/indoor,0.8006,5.82
kavas51422915240.jpg,aqueduct,0.812,8.03
agongar37224335371615.jpg,aqueduct,0.953,8.11
61822831@N0630612898307.jpg,aqueduct,0.9041,7.05
apo_hearn4202259849.jpg,aqueduct,0.608,3.44
38319563@N0742529514390.jpg,aqueduct,0.6047,6.64
107225546@N0826652967162.jpg,aqueduct,0.8875,4.93
52660724@N0527233641973.jpg,aqueduct,0.5126,6.23
159544363@N0430250465808.jpg,aqueduct,0.8192,7.21
glennpye26934672574.jpg,aqueduct,0.8074,7.04
bridgink42552260851.jpg,aqueduct,0.9708,3.58
ritontattoo2549352740.jpg,art_studio,0.6676,2.31
sammo371351204047.jpg,art_studio,0.5644,2.06
131226413@N0836488317143.jpg,art_studio,0.503,7.11
reading-matters26398108056.jpg,art_studio,0.7969,7.13
sammo371401432357.jpg,art_studio,0.6699,3.44
poseidon19842286959580.jpg,art_studio,0.5692,3.1
124212775@N0514467367044.jpg,art_studio,0.5527,5.07
mohdi2227285911.jpg,art_studio,0.5557,2.99
albyn48854876576.jpg,art_studio,0.6591,3.8
yana_l15398855129.jpg,art_studio,0.8655,5.29
mondonack23419589606.jpg,atrium/public,0.7904,3.31
kennethkwan3099835026.jpg,atrium/public,0.5997,3.48
julien_cornette16945173250.jpg,atrium/public,0.8859,7.17
126687494@N0816645215678.jpg,atrium/public,0.8925,7.39
129666100@N0349252758646.jpg,atrium/public,0.7434,6.19
regardelabas22922823820.jpg,atrium/public,0.8948,6.83
ritavitafinzi4150826296.jpg,atrium/public,0.5606,6.9
maerten9684724175.jpg,atrium/public,0.6935,6.19
michael_hamburg41371622225.jpg,atrium/public,0.7878,4.97
simongman5572006267.jpg,atrium/public,0.6157,4.83
fwump5410715823.jpg,attic,0.5604,1.91
it_mom3112884561.jpg,attic,0.6182,2.85
84935187@N0416393044637.jpg,attic,0.5427,7.68
25956017@N0749744180041.jpg,attic,0.7615,6.89
andreaschuh25389787071.jpg,attic,0.9976,3.92
giannis_thalassinos41116094325.jpg,attic,0.7922,3.67
wwwcelinestalnl15457041354.jpg,attic,0.6741,5.52
littletinperson17153733032.jpg,attic,0.557,3.93
77151001@N0718499683829.jpg,attic,0.5174,4.69
stys1985012944791079184.jpg,attic,0.6936,5.7
ralphrozema45613771044.jpg,badlands,0.5789,4.97
rooftop6550907405256.jpg,badlands,0.5998,3.77
47574723@N037196954820.jpg,badlands,0.8458,3.76
50860520@N0621677430148.jpg,badlands,0.604,4.23
lenlangevin22458622831.jpg,badlands,0.9808,7.31
8522809@N0637328121315.jpg,badlands,0.8186,6.69
thadz27611857752.jpg,badlands,0.9987,6.38
helmet_1332976992903.jpg,badlands,0.9825,6.27
robynhooz25248406187.jpg,badlands,0.9558,5.97
98763899@N0733915075125.jpg,badlands,0.5083,6.61
33956296@N045689051289.jpg,balcony/exterior,0.7059,2.38
fabiankonstantin22273985985.jpg,balcony/exterior,0.6231,7.9
carolyneaton21833963346.jpg,balcony/exterior,0.6756,7.65
kjkmep19343545174.jpg,balcony/exterior,0.7613,7.17
kjkmep18238051141.jpg,balcony/exterior,0.653,7.13
124873707@N0827455537567.jpg,balcony/exterior,0.6868,6.35
stellawind44117193374.jpg,balcony/exterior,0.5485,4.27
santini197248664590631.jpg,balcony/exterior,0.5709,5.29
freakyrobbie29341948804.jpg,balcony/exterior,0.5819,5.28
mary_faith29639450815.jpg,balcony/exterior,0.8875,4.41
manuel_abascal22554824960.jpg,ballroom,0.8351,7.2
silverdrake2135789913.jpg,ballroom,0.955,2.45
dreamdeliver50138133343.jpg,ballroom,0.5975,4.78
krhphotography47380732372.jpg,ballroom,0.81,5.13
agustinruiz39778095382.jpg,ballroom,0.6337,4.16
