image_id,category,置信度,score
hcisneros28032641372.jpg,sauna,0.1332,4.5
redlensfoto30075827383.jpg,lake/natural,0.9464,7.54
carolyneaton16304900940.jpg,wheat_field,0.632,5.99
134488139@N0726691972393.jpg,bridge,0.5569,2.52
mangomargarita113455611.jpg,sky,0.7552,4.04
stefanorugolo30314554580.jpg,forest/needleleaf,0.7995,7.0
simplycolleen3303666006.jpg,forest/needleleaf,0.5386,5.3
21644167@N043794443290.jpg,florist_shop/indoor,0.3868,5.65
102472425@N0646495450671.jpg,botanical_garden,0.3408,5.08
129695708@N0218862983263.jpg,nursery,0.7544,7.68
125969625@N0828591928142.jpg,pond,0.3906,7.35
derodeolifant20056832911.jpg,florist_shop/indoor,0.1995,6.39
akai091521217367233.jpg,sky,0.8579,3.45
fou3332235393198.jpg,crosswalk,0.4623,2.33
97604133@N0521660426300.jpg,planetarium/outdoor,0.4517,3.64
142637084@N0726658014819.jpg,hangar/indoor,0.384,4.89
einheriar23884861979.jpg,street,0.4321,5.38
primatologist26553527413.jpg,street,0.5175,4.95
conradanthony24065480475.jpg,sandbar,0.4261,4.55
98426722@N0523958307713.jpg,auto_factory,0.5004,7.99
143075823@N0244687997425.jpg,hotel_room,0.3148,5.16
shebalso2479479949.jpg,canal/urban,0.7421,4.12
natali_antonovich8633324009.jpg,driveway,0.454,5.77
markcmorris30261957352.jpg,sandbar,0.8948,5.97
thomas-riecken8264503034.jpg,lake/natural,0.443,6.95
grexsys42224751524.jpg,coffee_shop,0.7375,4.58
142145134@N0642765246294.jpg,harbor,0.6331,6.47
deepereyes3592519141.jpg,music_store,0.9999,3.18
120235393@N0516138146008.jpg,snowfield,0.7872,6.21
storyteller7392226896.jpg,restaurant,0.6999,3.69
stellawind38484165104.jpg,street,0.4607,4.01
deepblue6628182149692.jpg,slum,0.2277,7.7
mateuszkoziatek22069347743.jpg,planetarium/outdoor,0.4921,8.0
52660724@N0523913316965.jpg,cliff,0.6551,6.14
leo_margareto19535227112.jpg,bakery/shop,0.9662,6.88
sjffbb50057821283.jpg,wheat_field,0.993,8.33
soniaadammurray31599073468.jpg,fishpond,0.2778,3.88
victoriaschweiss27385036373.jpg,desert/sand,0.3808,3.94
peterfey41003090454.jpg,parking_lot,0.2922,6.2
claudia_22243200091570.jpg,kennel/outdoor,0.4767,8.31
46019178@N0526440057070.jpg,sky,0.9381,5.38
esim0840328663730.jpg,forest_path,0.4931,4.43
gardinerlance39868462783.jpg,ocean,0.3123,7.12
114394213@N0242617610731.jpg,lake/natural,0.7492,7.09
z00p29983981155.jpg,village,0.8357,8.05
marikokitaoka17363143381.jpg,anechoic_chamber,0.4383,5.32
86170398@N0517147795138.jpg,kennel/outdoor,0.6678,5.36
anonymousseeker19696324484.jpg,sky,0.4291,6.13
zesk-mf29744549712.jpg,jail/indoor,0.9102,5.79
93892755@N0225921668737.jpg,street,0.9605,5.8
nothurnnus37557246795.jpg,lighthouse,0.2938,3.18
rock_wolf34123226282.jpg,cottage_garden,0.3092,3.13
147690652@N0649315297236.jpg,snowfield,0.3804,5.23
jules792957364677.jpg,waiting_room,0.097,3.09
stellawind41402098772.jpg,harbor,0.9021,5.21
camillesematiski32081090347.jpg,kennel/indoor,0.3068,4.38
jacekbia18583449524.jpg,coast,0.5156,4.38
bokis-foto_man24380644159.jpg,sky,0.9853,6.2
68353565@N0050902039267.jpg,tree_farm,0.332,6.39
cnmark46311440494.jpg,crosswalk,0.9895,7.17
eugeng_20204941758.jpg,discotheque,0.1235,2.01
julyriver24632061466.jpg,ice_floe,0.6485,3.96
39307070@N025594063182.jpg,river,0.4881,2.67
axeboyokc31682037282.jpg,limousine_interior,0.2096,4.89
8525214@N062544456123.jpg,chemistry_lab,0.3601,4.37
cuppyuppycake14206548061.jpg,gazebo/exterior,0.1911,5.98
164178514@N0733692347368.jpg,parlor,0.418,4.54
gaphiker16129168567.jpg,cottage_garden,0.5827,6.06
117569844@N0526587401473.jpg,florist_shop/indoor,0.4865,4.97
sarahphotographer3288160857.jpg,burial_chamber,0.2492,5.89
pattyk6217876925848.jpg,barn,0.7879,6.65
thepcspud36436270441.jpg,lake/natural,0.6576,6.97
rowrlm33916303352.jpg,sky,0.4271,4.64
154097575@N0734047975011.jpg,chalet,0.2945,4.32
138448977@N0643554232022.jpg,lake/natural,0.9464,5.12
49090396@N0241287326892.jpg,ball_pit,0.7034,6.79
