image_id,category,置信度,score
carolyneaton16304900940.jpg,wheat_field,0.632,5.99
markcmorris30261957352.jpg,sandbar,0.8948,5.97
142145134@N0642765246294.jpg,harbor,0.6331,6.47
deepereyes3592519141.jpg,music_store,0.9999,3.18
leo_margareto19535227112.jpg,bakery/shop,0.9662,6.88
sjffbb50057821283.jpg,wheat_field,0.993,8.33
z00p29983981155.jpg,village,0.8357,8.05
86170398@N0517147795138.jpg,kennel/outdoor,0.6678,5.36
stellawind41402098772.jpg,harbor,0.9021,5.21
jacekbia18583449524.jpg,coast,0.5156,4.38
cnmark46311440494.jpg,crosswalk,0.9895,7.17
pattyk6217876925848.jpg,barn,0.7879,6.65
49090396@N0241287326892.jpg,ball_pit,0.7034,6.79
151209268@N0241085979540.jpg,field/wild,0.7304,5.97
flubscuteness45294404582.jpg,islet,0.9557,7.82
134085718@N0228934363056.jpg,swamp,0.6961,6.63
steven_peachey36820023533.jpg,forest_path,0.5305,4.4
dragonflyhunter50112219253.jpg,field/wild,0.6048,5.08
150775681@N0545492651795.jpg,toyshop,0.5554,6.0
shelby9924117153436.jpg,music_store,0.9586,5.8
deco291251214726586.jpg,vegetable_garden,0.6808,6.37
images-twiston49584860676.jpg,dock,0.9993,7.43
gastonlepage15308251603.jpg,barn,0.7352,5.65
19779889@N0039954265493.jpg,igloo,0.7848,4.34
egdc21119759499933.jpg,rainforest,0.8324,6.53
gderekh28821217514.jpg,parking_lot,0.571,4.5
115188198@N0326983146655.jpg,field/cultivated,0.6626,8.09
mmoments32052678951.jpg,waterfall/fan,0.5882,4.37
vegas-macross44519762721.jpg,coast,0.9355,5.88
vbvaphotos34358379162.jpg,field/wild,0.5861,4.88
argentalico29083713668.jpg,discotheque,0.5265,6.81
natali_antonovich32977463726.jpg,slum,0.527,5.41
nature_photography_tw13823866003.jpg,field/cultivated,0.6956,5.66
albost15524614626.jpg,field/wild,0.6026,7.45
tamas682563937392.jpg,vegetable_garden,0.8797,7.48
jrpix4u33230904328.jpg,parking_lot,0.6218,4.58
trango320951342793.jpg,ocean,0.8122,7.95
ralf_st16612124692.jpg,marsh,0.9652,7.72
joannarb200937524221876.jpg,forest_road,0.8309,4.01
akras33175087170.jpg,mountain_snowy,0.9078,4.5
carolsgardenofphotos35116916822.jpg,swamp,0.5295,3.67
56159557@N0728118545379.jpg,mountain_snowy,0.9086,7.09
139043034@N0623717233963.jpg,hill,0.7568,3.23
108075182@N0426865158474.jpg,music_store,0.7474,7.08
shand196738799840080.jpg,formal_garden,0.9448,3.43
acg100015355785.jpg,mansion,0.6322,5.58
ciciplum35676727764.jpg,kennel/outdoor,0.904,4.12
102086516@N0734872693642.jpg,fountain,0.9049,7.43
147112734@N0234654463586.jpg,herb_garden,0.5576,4.07
drunkphotography40438160622.jpg,crosswalk,0.6306,5.63
12928122@N0222654500873.jpg,hill,0.6595,5.92
sappho_et_amicae31882949067.jpg,forest_road,0.8656,5.95
asiandesert19630615654.jpg,discotheque,0.9658,5.37
120578638@N0821404033168.jpg,harbor,0.6326,3.5
26314150@N0425045566184.jpg,marsh,0.6018,4.72
64534310@N0737473696914.jpg,botanical_garden,0.5187,7.72
113852409@N0822684418711.jpg,kennel/outdoor,0.8532,4.35
owip38608242155.jpg,kennel/indoor,0.8382,3.96
dh_lilly26297778040.jpg,house,0.7982,7.13
intherough25521826190.jpg,sandbar,0.8671,6.08
131308082@N0220820761625.jpg,wheat_field,0.8034,3.96
gkottek50603231612.jpg,rainforest,0.7095,4.52
natali_antonovich28651097742.jpg,beauty_salon,0.591,3.33
33416825@N006520539391.jpg,hill,0.6464,6.98
132170180@N0342295042285.jpg,beauty_salon,0.9281,6.59
daveros230237110907.jpg,coast,0.6667,7.83
134864272@N0230014871995.jpg,medina,0.9727,4.9
94400000@N0626187156138.jpg,mountain_snowy,0.5309,5.85
larrykitzman39169630131.jpg,bow_window/indoor,0.5492,5.71
peaceful-jp-scenery18572205996.jpg,forest/broadleaf,0.5539,5.36
sileneandrade51392787327.jpg,music_studio,0.9509,6.98
madarchie024614892615.jpg,rainforest,0.786,4.22
130659121@N0225736091386.jpg,field/wild,0.8497,4.42
jocarlo37533095362.jpg,herb_garden,0.9686,6.4
photoart_petertiedemanndrevin30551091151.jpg,sandbar,0.9637,7.52
160795234@N0427719437089.jpg,rainforest,0.8096,3.54
kissthepixel36949273632.jpg,forest_path,0.6267,2.39
108878997@N0324224043118.jpg,wave,0.9421,5.6
sdorota16247136268.jpg,forest_path,0.6799,3.79
152592713@N0437228522966.jpg,forest_path,0.9666,4.28
crowt5942192791765.jpg,rainforest,0.7073,5.34
138404279@N0431820638243.jpg,harbor,0.9893,3.73
by_ljucsu15750611440.jpg,bow_window/indoor,0.8423,6.31
68151761@N0522073579760.jpg,wave,0.9803,5.21
r-h-b44448652835.jpg,wheat_field,0.9995,5.37
takako_r_kitamura31739013280.jpg,wave,0.7989,6.3
144824822@N0649092203146.jpg,forest_path,0.7528,5.14
105567585@N0633411042462.jpg,ball_pit,0.6964,5.71
jwhanley49825596008.jpg,bow_window/indoor,0.811,5.74
bel200020541030048.jpg,kennel/outdoor,0.7126,5.99
shoni114215626074.jpg,music_studio,0.6367,3.83
nickerwin27751280458.jpg,bow_window/indoor,0.7798,6.15
markbran16410194541.jpg,kennel/indoor,0.9501,7.41
fvega40634291523.jpg,botanical_garden,0.6524,4.89
147020516@N0838189837925.jpg,forest_path,0.5483,3.92
169726005@N0751258734975.jpg,forest_path,0.7374,6.44
valerat198225438657227.jpg,mountain_snowy,0.5874,7.96
118050174@N0520826569226.jpg,bow_window/indoor,0.6902,7.55
63567936@N0024576951870.jpg,barndoor,0.7418,5.03
magicsparkles36600387801.jpg,kennel/outdoor,0.7601,3.98
ciel-bleu36437946366.jpg,formal_garden,0.5558,3.28
133408712@N0224123263247.jpg,forest_road,0.8716,7.58
peicraigford33297060993.jpg,lighthouse,0.999,3.59
monty195830237686321.jpg,parking_lot,0.5804,5.31
soniaadammurray20144505445.jpg,dock,0.606,5.75
29487672@N0742208308380.jpg,kennel/outdoor,0.6764,5.13
134378250@N0550540790568.jpg,hayfield,0.6954,7.53
134654170@N0627943288090.jpg,desert/sand,0.5414,5.2
hollykl8593348062.jpg,forest/broadleaf,0.8909,4.83
slaveofthepassions5828411737.jpg,vegetable_garden,0.6112,6.83
99076370@N0623955770347.jpg,botanical_garden,0.6064,4.38
janinerussell3489605474.jpg,botanical_garden,0.5882,4.97
123860072@N0736899506823.jpg,forest_road,0.9312,6.65
147324361@N0731551203978.jpg,botanical_garden,0.5687,3.41
jenn-turner8747165796.jpg,field/cultivated,0.5712,4.5
69792835@N0733903783926.jpg,fountain,0.6074,3.44
31403969@N0451191008785.jpg,field/wild,0.6178,7.08
fibia22643984785.jpg,river,0.6939,5.83
a-cris11627954995.jpg,mountain,0.5994,3.68
isabelingramdigital27744303562.jpg,driveway,0.5382,6.02
evapro419325234.jpg,veterinarians_office,0.5078,2.23
7232372@N086018914755.jpg,kennel/indoor,0.7641,5.23
msyulin44235633062.jpg,bakery/shop,0.7422,4.42
143887319@N0829283780404.jpg,sea_cliff,0.7487,3.51
146721572@N0446647252052.jpg,forest_path,0.5808,6.29
37919862@N043487568086.jpg,driveway,0.9917,2.99
cubagallery14706983142.jpg,dock,0.9759,7.33
by-jh15673626744.jpg,sea_cliff,0.8212,7.21
