image_id,category,置信度,score
farm1_389_20120703362_f3eab8fc87_b.jpg,stage/indoor,0.9985,4.5
farm1_279_20010344728_a024f95514_b.jpg,tent/outdoor,0.9627,4.0
farm4_3743_19996662610_00092fbff1_b.jpg,booth/indoor,0.8974,3.0
farm1_289_20210409571_9b7d608c4a_b.jpg,stadium/football,0.7845,5.0
farm1_310_19965523869_65d392c839_b.jpg,banquet_hall,0.5931,4.0
farm1_276_19892623209_45ed0a3dd1_b.jpg,cottage_garden,0.4439,9.5
farm1_384_20320476082_89963925bd_b.jpg,stadium/football,0.576,5.5
farm1_256_19570712724_9738fa8555_b.jpg,rice_paddy,0.611,5.0
farm1_441_19913969450_144c4f93e5_b.jpg,podium/outdoor,0.8526,7.0
farm4_3677_20174911012_595e03bcd1_b.jpg,clothing_store,0.6375,5.0
farm1_469_20094983959_8aca80ed5c_b.jpg,podium/outdoor,0.3468,3.5
farm1_497_19711044303_10518cfb22_b.jpg,campus,0.491,5.0
farm1_359_19444258803_23cde03d1c_b.jpg,cliff,0.4592,4.0
farm1_354_20064351151_750a866a9a_b.jpg,field/wild,0.4759,5.0
farm1_329_20131996326_a98cd84719_b.jpg,bamboo_forest,0.9607,5.0
farm1_268_20154447872_090a4c8ed1_b.jpg,sea_cliff,0.3963,8.0
farm1_479_19939938608_4a7fbfc5c8_b.jpg,yard,0.3332,2.0
farm1_324_19948691899_b8077df637_b.jpg,temple/south_asia,0.7848,7.0
farm1_443_20164653561_329643964f_b.jpg,sky,0.7447,8.0
farm1_490_20210214621_61bbd74b30_b.jpg,dining_car,0.7807,4.0
farm1_372_19479741043_0a59b7bb46_b.jpg,beach,0.6844,5.0
farm1_289_20086824078_82b4e8cb9a_b.jpg,abbey,0.6746,4.0
farm1_330_20140193751_ef86021963_b.jpg,burial_chamber,0.7113,2.5
farm1_550_19936094049_24b7f5750d_b.jpg,field/wild,0.2925,5.0
farm4_3737_19509757213_40406c2614_b.jpg,booth/indoor,0.4374,4.0
farm1_382_20145130680_c95b0202b6_b.jpg,yard,0.3794,3.5
farm1_361_19796414649_f74f6076a2_b.jpg,wine_cellar/bottle_storage,0.9456,4.5
farm1_363_20264612135_ef0068cb6f_b.jpg,street,0.5419,6.0
farm1_395_19947143248_c46df3dce2_b.jpg,stadium/football,0.9963,6.0
farm1_455_19547140934_56b9a5fdf3_b.jpg,booth/indoor,0.8356,3.5
farm1_296_20202834722_b0f7b7c0d7_b.jpg,martial_arts_gym,0.8984,4.5
farm1_305_19478915634_593322b1c6_b.jpg,forest_path,0.8821,4.5
farm1_396_20194384495_ca65318278_b.jpg,booth/indoor,0.6715,7.5
farm1_535_19564481574_3ed78fd2c2_b.jpg,stadium/football,0.9487,6.0
farm1_263_20014656170_cd378f1d72_b.jpg,forest/broadleaf,0.4423,9.0
farm1_318_20283592465_78a2beb0d3_b.jpg,construction_site,0.1919,4.0
farm1_434_20145317078_af7183a8a8_b.jpg,coffee_shop,0.2287,6.0
farm1_364_20217540681_2f3abbf356_b.jpg,hangar/outdoor,0.976,7.0
farm4_3775_19955382539_c27a644729_b.jpg,ball_pit,0.2886,6.0
farm1_321_20148002352_4339cf2747_b.jpg,temple/south_asia,0.9437,5.5
farm1_481_19578206443_f5ba0981b2_b.jpg,market/outdoor,0.3889,5.5
farm1_322_19894107318_0888e86940_b.jpg,shopfront,0.3875,2.0
farm1_348_20002569589_920eec066d_b.jpg,bayou,0.4096,7.0
farm1_309_19967635488_85159e0621_b.jpg,schoolhouse,0.4197,0.0
farm1_382_20078470410_2f16ddf47d_b.jpg,sauna,0.5094,4.0
farm1_498_20151539486_14cb7f9a86_b.jpg,burial_chamber,0.1115,5.0
farm1_356_20254094322_628ccf5c08_b.jpg,stage/indoor,0.9612,3.0
farm1_546_19800319778_86689854a2_b.jpg,sky,0.4584,7.5
farm1_303_20139669285_06df531429_b.jpg,construction_site,0.7049,3.5
farm1_356_20337159211_580904ec72_b.jpg,forest/broadleaf,0.2598,3.0
farm1_487_20301686346_56c247ae16_b.jpg,sauna,0.3785,7.0
farm1_331_20114610965_b3e6cbcdbb_b.jpg,podium/indoor,0.462,4.0
farm1_497_19472807014_aaebf76236_b.jpg,podium/indoor,0.6757,5.0
farm1_374_19705726123_b23a7700ff_b.jpg,sandbox,0.9996,5.0
farm1_290_19537544694_3028e3afbb_b.jpg,sky,0.5934,4.0
farm1_396_20183405121_0c71cf9b23_b.jpg,corral,0.64,6.5
farm1_404_19482232614_d072efd41f_b.jpg,podium/outdoor,0.9587,4.0
farm1_477_20206666355_b3d33e2bce_b.jpg,cottage_garden,0.9988,9.0
farm1_434_19703923163_c9703273fd_b.jpg,crosswalk,0.612,5.0
farm1_378_19649566134_a77eb28c88_b.jpg,medina,0.3607,1.5
farm1_279_19929047320_73913956ea_b.jpg,lock_chamber,0.9358,7.5
farm1_391_20146787359_1f8308d224_b.jpg,sandbox,0.9887,7.5
farm1_266_20196576131_af7d7d9cc9_b.jpg,plaza,0.6713,3.5
farm1_414_19648322834_7438f86ff3_b.jpg,volleyball_court/outdoor,0.9747,5.5
farm4_3814_20169580341_ae1fef8dbb_b.jpg,botanical_garden,0.4742,8.5
farm1_364_19984160408_ae215e76f3_b.jpg,ice_floe,0.3569,6.0
farm1_364_20143199536_f257c7ce98_b.jpg,butte,0.8302,5.42
farm4_3798_19885608379_529a9d3e89_b.jpg,hill,0.667,0.5
farm1_264_19580083604_a66974ecdc_b.jpg,bathroom,0.9993,3.0
farm1_381_19585724843_02da34cc31_b.jpg,lake/natural,0.4882,5.5
farm1_371_19794871749_fa44f686af_b.jpg,harbor,0.3989,5.0
farm1_379_19467196644_c1042cd037_b.jpg,kennel/indoor,0.9743,5.5
farm1_272_20158172082_2a0d3a9c42_b.jpg,auto_factory,0.3646,5.5
farm1_369_20135281466_665f2e6a70_b.jpg,conference_center,0.6202,3.5
farm1_362_20146308402_7925647e5a_b.jpg,park,0.6079,8.0
farm1_335_19804080379_cc88b5d84e_b.jpg,lecture_room,0.9675,0.5
farm1_312_19895492439_a3c4dd46f7_b.jpg,street,0.8971,3.0
farm1_272_20007212809_31b2cd3c3f_b.jpg,hill,0.2339,3.5
farm1_448_19652562533_cbfc1b03f4_b.jpg,dorm_room,0.7177,8.0
farm1_281_20011626848_de62342c31_b.jpg,planetarium/outdoor,0.4381,7.0
farm1_484_20154880246_d80e713291_b.jpg,lake/natural,0.7974,7.0
farm1_282_19797572250_3e3d6c1e6d_b.jpg,batters_box,0.9983,3.0
farm1_278_20263644582_c871216726_b.jpg,playground,0.9966,5.5
farm1_255_20082656461_983d335262_b.jpg,podium/indoor,0.3276,5.5
farm1_549_20088528802_6cf13951c5_b.jpg,gift_shop,0.8077,2.92
farm4_3790_19942571208_c79836300c_b.jpg,wet_bar,0.622,4.0
farm1_471_20171295286_f417f6c09e_b.jpg,cavern/indoor,0.3667,4.0
farm1_371_20160056341_dcd996239d_b.jpg,kindergarden_classroom,0.3451,0.0
farm1_482_20101115446_688a9cccf1_b.jpg,cliff,0.4528,6.0
farm1_324_20241707216_efe2cb06b6_b.jpg,delicatessen,0.9369,4.0
farm1_501_20177863432_9c5933d504_b.jpg,viaduct,0.6521,3.0
farm1_466_19968813030_b2496c8e4f_b.jpg,art_school,0.8665,6.5
farm1_314_20257172242_b6292b4c8b_b.jpg,village,0.3026,3.5
farm1_416_20235412496_a0b3f92db0_b.jpg,ice_floe,0.4128,3.75
farm1_499_20193363162_bda0decec6_b.jpg,marsh,0.2861,6.5
farm4_3802_19937275738_157d604530_b.jpg,anechoic_chamber,0.4256,0.0
farm1_352_20183489701_0d5fe84151_b.jpg,barndoor,0.2123,5.5
farm1_294_20155387246_56ed01b6e5_b.jpg,market/outdoor,0.4556,5.0
farm1_393_20133806606_c7e9bf2f00_b.jpg,toyshop,0.9562,3.12
farm1_373_20116580391_48f6160c3d_b.jpg,beach,0.3727,5.0
farm1_355_19901802319_e12e1736a2_b.jpg,ticket_booth,0.488,6.0
farm1_366_20207435711_b13aed054e_b.jpg,mausoleum,0.9828,7.5
farm1_362_19553412764_c86cdec4fe_b.jpg,podium/indoor,0.9806,5.0
farm1_278_19653258633_4d0c466100_b.jpg,wave,0.9945,8.5
farm1_376_19901927418_2eaa64c876_b.jpg,kennel/outdoor,0.8414,5.5
farm1_538_20157008295_e475d3ac14_b.jpg,museum/indoor,0.6085,3.0
farm1_259_20181410835_77719e0bc2_b.jpg,kindergarden_classroom,0.6634,5.42
farm4_3811_19999136420_c39c9acb2c_b.jpg,lift_bridge,0.5586,6.0
farm1_296_19980269758_6d981d691c_b.jpg,park,0.1908,5.0
farm1_322_20208220261_f9424644d6_b.jpg,park,0.3161,8.0
farm1_427_20089039850_a77ae0e89f_b.jpg,cottage_garden,0.8549,8.0
farm1_276_20080080382_701fd5e421_b.jpg,field/wild,0.3621,6.5
farm1_484_19472545424_fda6554a8d_b.jpg,burial_chamber,0.8353,7.0
farm1_465_19641436204_824c9e192b_b.jpg,hill,0.3241,5.5
farm1_469_19489389723_09895c01f1_b.jpg,herb_garden,0.3377,8.5
farm1_296_20073573722_4f1f872f4d_b.jpg,forest_path,0.6475,5.5
farm1_261_20026262320_50cee2e6fe_b.jpg,podium/indoor,0.5486,4.0
farm1_329_19911428620_e7834da1be_b.jpg,parking_lot,0.3089,3.5
farm1_337_20179147452_e14d176eb9_b.jpg,apartment_building/outdoor,0.9834,4.0
farm1_290_20169499891_d8dcd66d2f_b.jpg,sky,0.3292,7.0
farm1_386_20014125759_b6ecb91e58_b.jpg,kennel/indoor,0.9901,5.0
farm1_303_19948105608_56be438d44_b.jpg,highway,0.9604,8.5
farm1_362_20174369136_03531c1c64_b.jpg,temple/east_asia,0.5882,6.5
farm1_328_19645399694_a75d5b741f_b.jpg,gift_shop,0.2988,2.5
farm1_268_19537846913_68f841a905_b.jpg,game_room,0.8217,5.5
farm1_394_19711782103_d7f9abcb81_b.jpg,apartment_building/outdoor,0.8723,4.0
farm1_333_20097138759_9f85fe2faf_b.jpg,beach,0.5881,8.5
farm1_267_19364188474_32aa9b1d89_b.jpg,labyrinth/outdoor,0.4599,6.5
farm1_263_20006122359_d32ac072ec_b.jpg,temple/south_asia,0.3343,5.5
farm1_348_19797357890_00f0767a51_b.jpg,hot_spring,0.9991,7.0
farm1_379_19898089450_5286e6be25_b.jpg,batters_box,0.99,8.0
farm1_424_20192564165_bc8ca6c420_b.jpg,doorway/outdoor,0.9922,3.5
