image_id,score,category
21387424@N002877738505.jpg,3.83,beach
lukeas093874799823.jpg,3.29,beach
momofone9827698376423.jpg,3.35,beach
droplingur6683060431.jpg,2.42,beach
linkzi1006223896.jpg,3.67,beach
39001830@N086632294841.jpg,2.5,beach
robwallace996410209.jpg,2.69,beach
jingjok2915740836.jpg,4.04,beach
enzym2102481059.jpg,3.02,beach
27125124@N072612499033.jpg,2.98,beach
7981815@N052940018704.jpg,3.35,beach
30056912@N083260618610.jpg,2.21,beach
joegoaukdirtypanjim23401542484.jpg,2.42,beach
svetan3432973616.jpg,3.15,beach
darkofthemoon1182267091.jpg,2.92,beach
shmow3249739210.jpg,3.33,beach
mozzarellahead2530619748.jpg,2.73,beach
45494180@N064460285306.jpg,2.31,beach
phcoppens7651142298.jpg,2.68,beach
66083795@N056039708048.jpg,3.73,beach
kcjazz302412973.jpg,2.4,beach
photographs-by-susanne3791107546.jpg,3.0,beach
jeanerace5357329614.jpg,3.67,beach
laszlo-photo6701745247.jpg,3.08,beach
x0nelg4303429051.jpg,3.4,beach
mattpaish6829081862.jpg,2.66,beach
robwallace745362377.jpg,2.49,beach
kighting4325621866.jpg,3.19,beach
53682184@N00143332919.jpg,2.92,beach
araswami3674038464.jpg,2.97,beach
davidonformosa3782837999.jpg,3.54,beach
29374594@N002325042094.jpg,3.27,beach
22771810@N00106174482.jpg,3.11,beach
heydrienne469401103.jpg,2.64,beach
66504421@N046224730234.jpg,3.12,beach
irenicrhonda5045259388.jpg,3.04,beach
silvia-m269123767.jpg,2.72,beach
36950810@N044465307637.jpg,2.6,beach
errolberrol435189511.jpg,2.38,beach
georgiahunt2813135385.jpg,2.44,beach
armandolobos4039306153.jpg,3.08,beach
kaipukur3909461842.jpg,2.84,beach
thebentmage881919844.jpg,3.46,beach
doug_e_style5394111800.jpg,3.7,beach
kp10675902597912.jpg,2.98,beach
omnia72704493.jpg,3.35,beach
7173281@N051097585076.jpg,2.48,beach
12723092@N031457680702.jpg,2.38,beach
maayo531159380.jpg,2.62,beach
ndavid3110408300.jpg,3.42,beach
flutterbye8563484553932.jpg,2.71,beach
34595642@N005114329546.jpg,2.64,beach
82955120@N057731155724.jpg,3.31,beach
15685664@N004769663914.jpg,3.06,beach
39001830@N086586570803.jpg,2.3,beach
cwhatphotos3778262549.jpg,3.46,beach
karnevil2915004773.jpg,2.6,beach
beave4841795057.jpg,2.81,beach
tr1stero1265021502.jpg,4.04,beach
55202307@N003976133525.jpg,4.04,beach
robwallace3684207313.jpg,2.68,beach
arnistm3341173010.jpg,3.55,beach
golden_asha4305234585.jpg,3.02,beach
kiichi_onair5323531174.jpg,3.3,beach
davejglaves3022517616.jpg,4.29,beach
aogg40143045840.jpg,3.91,beach
zeeyolqpictures24873332279.jpg,2.58,beach
130805619@N0439927180545.jpg,3.06,beach
9019403@N0332432447352.jpg,3.1,beach
jadedirishgryphon37986881082.jpg,2.9,beach
zeeyolqpictures24483348669.jpg,3.0,beach
sarjakthakkar33838423084.jpg,3.92,beach
152115889@N0238167399206.jpg,4.12,beach
zeeyolqpictures21688948484.jpg,3.6,beach
124506989@N0722730309911.jpg,3.68,beach
2slo725766491687.jpg,3.71,beach
29374594@N002167527566.jpg,3.51,beach
miqspix44843248984.jpg,3.93,beach
158094573@N0441751494834.jpg,3.81,beach
kexi28561328935.jpg,3.67,beach
brucetopher47429259612.jpg,2.83,beach
claudia-kiel28337539784.jpg,3.69,beach
99076370@N0621886303281.jpg,3.71,beach
zeeyolqpictures25332191333.jpg,3.13,beach
aerialcamera27267153927.jpg,3.67,beach
nealedelstein24850712402.jpg,3.46,beach
parismadrid4522516185.jpg,3.46,beach
146203894@N0531191077153.jpg,3.29,beach
kasia_szura3426936536.jpg,4.58,beach
141657472@N0726096401180.jpg,3.19,beach
62935497@N0241378775084.jpg,3.71,beach
magaroonie31197445906.jpg,3.98,beach
brucetopher45634022195.jpg,4.42,beach
abphotoza21605470669.jpg,3.88,beach
b-inna39761710773.jpg,2.62,beach
carlosaaviles40923814554.jpg,4.14,beach
crazyjohn36243638651.jpg,3.02,beach
