image_id,category,置信度,score
iaa_pub26981_.jpg,aquarium,0.2928,2.76
iaa_pub7478_.jpg,yard,0.2603,4.30769231
iaa_pub7166_.jpg,parking_lot,0.2805,5.16
iaa_pub29693_.jpg,sushi_bar,0.9963,5.64
iaa_pub7391_.jpg,tower,0.6151,6.84
iaa_pub25178_.jpg,jewelry_shop,0.634,3.84848485
iaa_pub16552_.jpg,kitchen,0.4918,5.12
iaa_pub1767_.jpg,home_office,0.7002,7.56
iaa_pub27344_.jpg,balcony/exterior,0.2359,6.8
iaa_pub1506_.jpg,bow_window/indoor,0.314,7.2
iaa_pub13821_.jpg,bow_window/outdoor,0.3998,6.68
iaa_pub1907_.jpg,residential_neighborhood,0.5973,6.65384615
iaa_pub9190_.jpg,restaurant_kitchen,0.4839,6.67857143
iaa_pub6310_.jpg,lobby,0.9716,3.37037037
iaa_pub5206_.jpg,mountain,0.6503,7.65384615
iaa_pub28290_.jpg,butte,0.6901,8.0
iaa_pub7581_.jpg,beach,0.7284,6.39285714
iaa_pub26365_.jpg,apartment_building/outdoor,0.4455,6.33333333
iaa_pub23336_.jpg,lock_chamber,0.6665,6.55263158
iaa_pub30414_.jpg,balcony/interior,0.7343,6.48
iaa_pub18729_.jpg,skyscraper,0.9622,6.28
iaa_pub18262_.jpg,kennel/outdoor,0.6995,6.12
iaa_pub24386_.jpg,bistro/indoor,0.5496,5.6
iaa_pub30868_.jpg,mountain_snowy,0.2817,6.68
iaa_pub26155_.jpg,cliff,0.2759,2.625
iaa_pub13211_.jpg,restaurant,0.2033,6.36
iaa_pub30652_.jpg,restaurant_kitchen,0.3721,5.69230769
iaa_pub5095_.jpg,throne_room,0.9999,6.24
iaa_pub27083_.jpg,church/outdoor,0.7925,7.5
iaa_pub5310_.jpg,classroom,0.385,6.88
iaa_pub20576_.jpg,delicatessen,0.6436,6.24
iaa_pub4789_.jpg,cubicle/office,0.9568,4.8
iaa_pub19703_.jpg,bow_window/indoor,0.1816,7.0
iaa_pub30564_.jpg,cottage_garden,0.6835,7.4
iaa_pub22199_.jpg,crosswalk,0.5275,5.54166667
iaa_pub469_.jpg,hospital_room,0.1505,7.08
iaa_pub14107_.jpg,phone_booth,0.2815,4.65384615
iaa_pub19674_.jpg,crosswalk,0.9056,6.0
iaa_pub11051_.jpg,kennel/indoor,0.5717,6.30769231
iaa_pub14362_.jpg,veterinarians_office,0.8156,6.8
iaa_pub22001_.jpg,physics_laboratory,0.3003,5.0
iaa_pub27219_.jpg,skyscraper,0.9447,7.28
iaa_pub7687_.jpg,pub/indoor,0.9013,7.5
iaa_pub3859_.jpg,park,0.7598,7.96
iaa_pub15346_.jpg,canal/urban,0.6428,6.76
iaa_pub3215_.jpg,skyscraper,0.3742,3.0
iaa_pub19943_.jpg,kennel/indoor,0.9268,6.8
iaa_pub5923_.jpg,amphitheater,0.7986,6.48
iaa_pub19521_.jpg,fastfood_restaurant,0.7776,6.04166667
iaa_pub1643_.jpg,street,0.8427,5.36
iaa_pub17748_.jpg,fountain,0.7051,5.72413793
iaa_pub13277_.jpg,mansion,0.5985,7.16
iaa_pub5360_.jpg,rope_bridge,0.657,6.76
iaa_pub12341_.jpg,candy_store,0.2637,6.875
iaa_pub19583_.jpg,street,0.728,6.8
iaa_pub18838_.jpg,picnic_area,0.8176,6.96
iaa_pub3064_.jpg,park,0.6836,4.42857143
iaa_pub9478_.jpg,sandbox,0.3616,6.88
iaa_pub14563_.jpg,pagoda,0.6424,7.0
iaa_pub15001_.jpg,alley,0.1994,6.85185185
iaa_pub7048_.jpg,hospital,0.4068,6.58333333
iaa_pub4292_.jpg,slum,0.4312,6.32
iaa_pub31011_.jpg,squash_court,0.7244,6.96
iaa_pub17791_.jpg,dorm_room,0.6133,5.85185185
iaa_pub16762_.jpg,television_studio,0.5248,5.32
iaa_pub10954_.jpg,florist_shop/indoor,0.7392,7.59259259
iaa_pub19455_.jpg,vegetable_garden,0.5404,5.91666667
iaa_pub24670_.jpg,forest/needleleaf,0.4396,6.68
iaa_pub27124_.jpg,food_court,0.9241,3.96
iaa_pub23643_.jpg,restaurant,0.3461,6.12121212
iaa_pub25798_.jpg,street,0.7306,5.88
iaa_pub8228_.jpg,campus,0.2832,7.08
iaa_pub24094_.jpg,corral,0.3154,6.0
iaa_pub16225_.jpg,booth/indoor,0.5225,5.88
iaa_pub23442_.jpg,hotel/outdoor,0.6931,3.96
iaa_pub16724_.jpg,tree_farm,0.4486,7.72
iaa_pub7066_.jpg,sushi_bar,0.344,7.375
iaa_pub21304_.jpg,bow_window/indoor,0.3329,7.0
iaa_pub12804_.jpg,diner/indoor,0.8341,5.08
iaa_pub30696_.jpg,mountain,0.5911,7.8
iaa_pub16628_.jpg,delicatessen,0.6415,5.84
iaa_pub5334_.jpg,ticket_booth,0.3533,5.52
iaa_pub23015_.jpg,alley,0.9623,6.08
iaa_pub1935_.jpg,archive,0.4277,6.26923077
iaa_pub13167_.jpg,kennel/outdoor,0.5467,5.92
iaa_pub2767_.jpg,restaurant,0.598,5.28
iaa_pub24724_.jpg,parking_lot,0.801,4.625
iaa_pub27668_.jpg,kennel/outdoor,0.6376,6.08
iaa_pub30965_.jpg,car_interior/backseat,0.7015,6.64
iaa_pub17733_.jpg,skyscraper,0.4685,6.86206897
iaa_pub1081_.jpg,utility_room,0.2037,6.30555556
iaa_pub2510_.jpg,podium/outdoor,0.5074,3.55555556
iaa_pub19615_.jpg,stage/indoor,0.7728,6.0
iaa_pub14079_.jpg,volleyball_court/outdoor,0.9972,5.88461538
iaa_pub24092_.jpg,industrial_area,0.4814,4.76
iaa_pub21208_.jpg,basement,0.7202,5.68
iaa_pub24486_.jpg,apse/indoor,0.4581,7.52
iaa_pub24675_.jpg,bedroom,0.6781,5.6
iaa_pub5_.jpg,candy_store,0.4798,6.375
iaa_pub23095_.jpg,islet,0.7401,7.53846154
iaa_pub6391_.jpg,bedroom,0.9595,7.92307692
iaa_pub29549_.jpg,cottage_garden,0.5447,7.64
iaa_pub617_.jpg,athletic_field/outdoor,0.4257,7.22222222
iaa_pub29038_.jpg,reception,0.3875,7.32
iaa_pub18715_.jpg,pasture,0.3952,7.12
iaa_pub5995_.jpg,hotel/outdoor,0.439,6.42307692
iaa_pub28963_.jpg,youth_hostel,0.4706,6.79166667
iaa_pub12502_.jpg,igloo,0.506,8.26923077
iaa_pub11629_.jpg,ice_cream_parlor,0.4446,3.12
iaa_pub11488_.jpg,skatepark,0.5497,3.12
iaa_pub15139_.jpg,forest/needleleaf,0.5426,7.83333333
iaa_pub8742_.jpg,playroom,0.2208,6.32
iaa_pub22222_.jpg,baggage_claim,0.5076,5.75
iaa_pub26258_.jpg,boardwalk,0.8989,6.46153846
iaa_pub10698_.jpg,bridge,0.4633,5.4
iaa_pub11685_.jpg,hotel/outdoor,0.3228,5.84
iaa_pub2292_.jpg,mansion,0.8434,6.69230769
iaa_pub24738_.jpg,baggage_claim,0.603,5.5
iaa_pub29746_.jpg,building_facade,0.5125,6.72
iaa_pub17915_.jpg,aquarium,0.5811,5.84
iaa_pub11083_.jpg,ice_cream_parlor,0.9956,5.88
iaa_pub30638_.jpg,construction_site,0.2389,6.26923077
iaa_pub1993_.jpg,harbor,0.8734,5.12
iaa_pub29764_.jpg,coast,0.7619,8.36
iaa_pub30943_.jpg,veterinarians_office,0.6269,7.64
iaa_pub17940_.jpg,islet,0.3534,6.76
iaa_pub22988_.jpg,ice_cream_parlor,0.7091,7.72
iaa_pub13062_.jpg,elevator/interior,0.2196,5.61290323
iaa_pub24769_.jpg,restaurant,0.6218,6.3125
iaa_pub20753_.jpg,fountain,0.7569,6.41666667
iaa_pub23448_.jpg,delicatessen,0.4813,5.44
iaa_pub14464_.jpg,sky,0.8146,5.6
iaa_pub21233_.jpg,kitchen,0.9424,6.2
iaa_pub949_.jpg,dorm_room,0.8001,5.28
iaa_pub30507_.jpg,shopfront,0.5678,6.6
iaa_pub29164_.jpg,home_office,0.9838,5.68
iaa_pub21796_.jpg,stage/indoor,0.749,6.84
iaa_pub9207_.jpg,balcony/interior,0.8021,7.21428571
iaa_pub15357_.jpg,labyrinth/outdoor,0.4484,6.72
iaa_pub20465_.jpg,bow_window/indoor,0.6094,5.75862069
iaa_pub10094_.jpg,sauna,0.7158,6.65384615
iaa_pub24762_.jpg,jail_cell,0.4614,5.9375
iaa_pub24180_.jpg,bamboo_forest,0.2686,7.8
iaa_pub21587_.jpg,bedroom,0.2442,6.04
iaa_pub449_.jpg,cottage_garden,0.3861,7.0
iaa_pub15958_.jpg,medina,0.7613,7.11111111
iaa_pub914_.jpg,shower,0.4994,5.52
iaa_pub9356_.jpg,coffee_shop,0.8718,7.48
iaa_pub8695_.jpg,burial_chamber,0.1392,6.2
iaa_pub8528_.jpg,home_office,0.798,5.57692308
iaa_pub21096_.jpg,yard,0.3837,7.28
iaa_pub17127_.jpg,fire_escape,0.644,5.88888889
iaa_pub30048_.jpg,park,0.4709,4.44
iaa_pub2946_.jpg,escalator/indoor,0.4644,5.96
iaa_pub17333_.jpg,elevator/door,0.3619,7.04
iaa_pub26243_.jpg,ice_skating_rink/outdoor,0.7664,3.72
iaa_pub7043_.jpg,desert/sand,0.8413,7.70833333
iaa_pub6330_.jpg,snowfield,0.5621,6.7037037
iaa_pub7704_.jpg,dining_car,0.753,6.92307692
iaa_pub6171_.jpg,botanical_garden,0.4255,7.4
iaa_pub11447_.jpg,parking_lot,0.4332,3.12
iaa_pub16392_.jpg,catacomb,0.5294,7.12
iaa_pub2643_.jpg,botanical_garden,0.4883,7.12
iaa_pub7068_.jpg,rice_paddy,0.5794,5.625
iaa_pub20283_.jpg,pulpit,0.9803,5.78571429
iaa_pub23277_.jpg,florist_shop/indoor,0.7519,5.76923077
iaa_pub8953_.jpg,discotheque,0.3348,4.34615385
iaa_pub26426_.jpg,atrium/public,0.2003,5.88
iaa_pub2025_.jpg,waiting_room,0.3447,5.84
iaa_pub22973_.jpg,library/outdoor,0.3202,6.44
iaa_pub18636_.jpg,berth,0.3148,5.12
iaa_pub25709_.jpg,bow_window/indoor,0.9542,7.37931034
iaa_pub23374_.jpg,sushi_bar,0.9977,6.63157895
iaa_pub3908_.jpg,crosswalk,0.2598,6.44
iaa_pub12709_.jpg,watering_hole,0.7982,5.44
iaa_pub5513_.jpg,limousine_interior,0.3562,3.2
iaa_pub18567_.jpg,courthouse,0.7949,7.68
iaa_pub27146_.jpg,kennel/indoor,0.8144,6.76
iaa_pub19890_.jpg,restaurant,0.6734,6.88
iaa_pub13900_.jpg,kennel/indoor,0.7683,7.375
iaa_pub27066_.jpg,clean_room,0.268,5.65384615
iaa_pub21362_.jpg,barndoor,0.565,5.72
iaa_pub17227_.jpg,delicatessen,0.7792,7.32
iaa_pub8256_.jpg,garage/indoor,0.6839,6.28
iaa_pub31131_.jpg,podium/outdoor,0.9908,5.28
iaa_pub24759_.jpg,home_office,0.4812,6.28125
iaa_pub10874_.jpg,escalator/indoor,0.102,6.4
iaa_pub7952_.jpg,fastfood_restaurant,0.5676,5.03703704
iaa_pub10428_.jpg,construction_site,0.9657,7.08
iaa_pub9585_.jpg,parlor,0.9205,6.44
iaa_pub15033_.jpg,forest/needleleaf,0.2842,5.96296296
iaa_pub21951_.jpg,village,0.3255,6.24
iaa_pub9099_.jpg,podium/indoor,0.5079,5.24
iaa_pub29724_.jpg,home_office,0.6544,7.48
iaa_pub4028_.jpg,botanical_garden,0.5725,8.09090909
iaa_pub7427_.jpg,shopfront,0.3164,6.07692308
iaa_pub10479_.jpg,closet,0.2464,6.0
iaa_pub26302_.jpg,delicatessen,0.6371,5.53846154
iaa_pub3986_.jpg,bow_window/indoor,0.6544,7.53571429
iaa_pub1674_.jpg,restaurant,0.3609,6.84
iaa_pub7522_.jpg,sushi_bar,0.9699,5.92
iaa_pub16798_.jpg,sky,0.8499,6.48
iaa_pub100_.jpg,alley,0.8699,5.0
iaa_pub23695_.jpg,bow_window/indoor,0.7011,6.72
iaa_pub28633_.jpg,cafeteria,0.296,6.88
iaa_pub6961_.jpg,fastfood_restaurant,0.2221,2.8
iaa_pub22195_.jpg,veterinarians_office,0.9996,7.79166667
iaa_pub20842_.jpg,greenhouse/indoor,0.2821,7.8
iaa_pub20684_.jpg,aquarium,0.83,7.16
iaa_pub6559_.jpg,bow_window/outdoor,0.4669,4.96428571
iaa_pub12364_.jpg,alley,0.9833,6.5
iaa_pub14214_.jpg,kitchen,0.9664,6.0
iaa_pub24782_.jpg,bow_window/indoor,0.2472,5.2
iaa_pub30759_.jpg,alley,0.7928,6.07692308
iaa_pub6272_.jpg,burial_chamber,0.1375,7.56
iaa_pub4530_.jpg,bridge,0.7186,3.84
iaa_pub30255_.jpg,beach,0.6073,6.32
iaa_pub28003_.jpg,kitchenette,0.4223,5.48
iaa_pub29441_.jpg,creek,0.5293,5.73076923
iaa_pub27736_.jpg,restaurant_kitchen,0.3383,7.34615385
iaa_pub18750_.jpg,diner/outdoor,0.4109,4.2
iaa_pub10757_.jpg,river,0.4071,6.0
iaa_pub4212_.jpg,bus_interior,0.1728,2.78571429
iaa_pub1727_.jpg,stadium/baseball,0.9773,6.72
iaa_pub24509_.jpg,field/wild,0.8605,6.54285714
iaa_pub24300_.jpg,kindergarden_classroom,0.1885,6.56
iaa_pub13699_.jpg,ski_resort,0.3582,7.52
iaa_pub23828_.jpg,bedroom,0.4945,6.03846154
iaa_pub16495_.jpg,inn/outdoor,0.3383,7.15384615
iaa_pub5295_.jpg,plaza,0.4993,6.64
iaa_pub22474_.jpg,restaurant,0.6628,6.36
iaa_pub11342_.jpg,restaurant,0.4898,6.10714286
iaa_pub20484_.jpg,kennel/outdoor,0.4721,6.13793103
iaa_pub28454_.jpg,cathedral/indoor,0.6881,7.12
iaa_pub22234_.jpg,coast,0.4764,7.83333333
iaa_pub14590_.jpg,sky,0.1637,7.16
iaa_pub27701_.jpg,residential_neighborhood,0.3311,6.08
